Post Malone feat. 21 Savage,rockstar,http://www.rap-up.com/app/uploads/2017/09/post-malone-rockstar.jpg,http://ol7.mp3party.net/online/8494/8494989.mp3,Russia,2017
Merk & Kremont,Sad Story (Out Of Luck),https://static.esea.net/global/images/users/600858.1413416252.jpg,http://ol7.mp3party.net/online/8507/8507899.mp3,Russia,2017
ZAYN,Dusk Till Dawn ft. Sia,https://upload.wikimedia.org/wikipedia/en/f/f3/Dusk_Till_Dawn_Zayn_Malik.jpg,http://ol7.mp3party.net/online/8511/8511749.mp3,Russia,2017
Imagine Dragons,Whatever It Takes,https://i.ytimg.com/vi/rGlEZpOVjGo/maxresdefault.jpg,http://ol5.mp3party.net/online/8436/8436252.mp3,Russia,2017
Katy Perry,Roulette,http://coverlandia.net/sites/default/files/styles/music_artwork_page/public/artworks/music/249571496947895.jpg?itok\u003dxr-aieqy,http://ol6.mp3party.net/online/8452/8452889.mp3,Russia,2017
Sherrie Sherrie & The Ware,Nana Song (ft. Nina),https://i.ytimg.com/vi/nc_S1Ct2j7g/maxresdefault.jpg,http://ol7.mp3party.net/online/8503/8503390.mp3,Russia,2017
Kaleo,Way Down We Go,https://pianokafe.com/upload/iblock/658/399cc8fcd0466c2642dbd8fdca736ba1.800x800x1.jpg,http://ol5.mp3party.net/online/7813/7813030.mp3,Russia,2017
Jaded,In The Morning,https://images.genius.com/bc20ba5e8fb5c6eb37881fa52e42c2e6.480x480x1.jpg,http://ol5.mp3party.net/online/8419/8419143.mp3,Russia,2017
T-Fest,Улети,https://images.genius.com/9d99053404c3e46436d0332ffce77eac.908x908x1.jpg,http://ol6.mp3party.net/online/8479/8479974.mp3
Ofenbach vs. Nick Waterhouse,Katchi,http://hitfm.kg/wp-content/uploads/2017/09/1d8a3511de9d06c251ba50e2d303cc0b7e4196ad.jpg,http://ol7.mp3party.net/online/8491/8491114.mp3,Russia,2017
LP,Suspicion (Going Deeper Remix),https://www.tophit.ru/ru/i/365x365/photo/85590.jpg,http://ol6.mp3party.net/online/8461/8461955.mp3,Russia,2017
Dua Lipa,New Rules,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/New_Rules_%28Official_Single_Cover%29_by_Dua_Lipa.png/220px-New_Rules_%28Official_Single_Cover%29_by_Dua_Lipa.png,http://ol6.mp3party.net/online/8449/8449868.mp3,Russia,2017
Сергей Лазарев,Так красиво (Rock & Rave Remix),http://muzonov.net/uploads/posts/2017-11/medium/1511532848_m1000x1000.jpg,
L.B. ONE feat. Laenz,Tired Bones,http://freshall.com/img/2017-06/19/89ma6nsagr3i9hfjdm7lj2k28.jpg,http://ol6.mp3party.net/online/8463/8463613.mp3,Russia,2017
David Guetta & Afrojack,Dirty Sexy Money feat. Charli XCX & French Montana,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/David_Guetta_2013-04-12_001.jpg/1200px-David_Guetta_2013-04-12_001.jpg,http://ol7.mp3party.net/online/8508/8508414.mp3,Russia,2017
Kush Kush,Fight Back With Love Tonight,http://hitfm.kg/wp-content/uploads/2017/08/kush-kush-fight-back-with-love-tonight.jpg,http://ol5.mp3party.net/online/8443/8443834.mp3,Russia,2017
Элджей & Feduk,Розовое вино,https://bestcube.space/wp-content/uploads/DJDG498XoAAS1Ha.jpg,http://ol7.mp3party.net/online/8484/8484110.mp3
Imagine Dragons,Thunder,https://images.genius.com/2b962d986db19923c48221e5be36dd8d.1000x1000x1.jpg,http://ol5.mp3party.net/online/8433/8433152.mp3,Russia,2017
SOFI TUKKER,"Best Friend feat. NERVO, The Knocks & Alisa Ueno",https://i.ytimg.com/vi/aCGo1THpb9g/maxresdefault.jpg,http://ol8.mp3party.net/online/8522/8522987.mp3,Russia,2017
"J. Balvin, Willy William",Mi Gente,http://imperiousent.com/wp-content/uploads/2017/09/cover-art.jpg,,Russia,2017
JP Cooper,She's On My Mind,http://hitfm.kg/wp-content/uploads/2017/08/500x500.jpg,http://ol6.mp3party.net/online/8479/8479943.mp3,Russia,2017
"Luis Fonsi, Demi Lovato",Échame La Culpa,https://images.genius.com/b869e819b95458855f985e299452c753.1000x1000x1.jpg,http://ol7.mp3party.net/online/8513/8513388.mp3
Alice Merton,No Roots,http://images.genius.com/615a122f7cb2c30de828b3225903a12e.1000x1000x1.jpg,http://ol5.mp3party.net/online/8074/8074141.mp3,Russia,2017
Axwell /\ Ingrosso,More Than You Know,https://images.genius.com/9b8f4f9238fb6bf12528ef9bcf0a1371.1000x1000x1.jpg,http://ol5.mp3party.net/online/8443/8443740.mp3,Russia,2017
Klingande,Pumped Up,http://hitfm.kg/wp-content/uploads/2017/09/88e0a2855c771a25f848cc653c188663.1000x1000x1.jpg,,Russia,2017
Flying Decibels,The Road (Effective Radio Remix),https://www.tophit.ru/ru/i/365x365/photo/83775.jpg,http://ol7.mp3party.net/online/8491/8491014.mp3,Russia,2017
Tim3bomb,La Cancion,https://i.ytimg.com/vi/DqHi0zuzK1w/maxresdefault.jpg,http://ol6.mp3party.net/online/8469/8469885.mp3,Russia,2017
Deepend ft. Graham Candy,Waiting For The Summer,https://i1.sndcdn.com/artworks-000232037248-i95f30-t500x500.jpg,http://ol7.mp3party.net/online/8490/8490212.mp3,Russia,2017
Mari Ferrari,"Maria, Maria (feat. Miss Mary)",https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/15/85/89/158589f6-2e36-e8a8-bbaf-c435d6443ba6/cover.jpg/268x0w.jpg,http://ol7.mp3party.net/online/8501/8501469.mp3,Russia,2017
DJ Snake,A Different Way (feat. Lauv),https://i.ytimg.com/vi/o9n3bR8VMW8/maxresdefault.jpg,http://ol7.mp3party.net/online/8496/8496108.mp3,Russia,2017
Kadebostany,Mind if I Stay (Astero mix),http://cdn.promodj.com/afs/6ef2c6f2f470a475bad6889f7882e29b12:resize:2000x2000:same:bce79b,,Russia,2017
Vanotek feat. Eneli,Tell Me Who,https://i.ytimg.com/vi/q7LzhZylLnk/maxresdefault.jpg,http://ol5.mp3party.net/online/8418/8418196.mp3,Russia,2017
Robin Schulz feat. James Blunt,Ok,http://radiofresh.fm/wp-content/uploads/2017/05/db.jpg,http://ol5.mp3party.net/online/8441/8441187.mp3,Russia,2017
Charlie Puth,Attention,https://images-na.ssl-images-amazon.com/images/M/MV5BNzBjYWIzNmQtZjA2NS00ZTMzLThmODQtMGE0MTEzZGE1YTgzXkEyXkFqcGdeQXVyNDQ5MDYzMTk@._V1_.jpg,,Russia,2017
Yellow Claw & DJ Snake,Good Day,https://i.scdn.co/image/dcc35c6439846ec7da0b2b183d90494f41f9d814,http://ol5.mp3party.net/online/8417/8417625.mp3,Russia,2017
Matvey Emerson & Astero,Blame,http://showbiza.com/m1/photo/381/i_74020774607_220x220.jpg,http://ol7.mp3party.net/online/8491/8491176.mp3,Russia,2017
Portugal. The Man,Feel It Still,https://images-na.ssl-images-amazon.com/images/I/51h7u7E45HL._SS500.jpg,,Russia,2017
Dennis Lloyd,Nevermind (Pure Poison Remix),http://mp3-muzon.com/images/img/00-07/Dennis_Lloyd.jpg,http://ol7.mp3party.net/online/8505/8505551.mp3,Russia,2017
Alesso,Falling,https://images.genius.com/d1b95ecbe83be1346bc607a521c0336e.1000x1000x1.jpg,http://ol5.mp3party.net/online/8418/8418648.mp3,Russia,2017
The Chainsmokers & Coldplay,Something Just Like This,https://geo-media.beatport.com/image/5b5bde79-1e31-4cd6-8156-4e959572f20e.jpg,,Russia,2017
